"id_prestador","ds_situacao","ds_tipo_pessoa","nm_prestador","ds_municipio","ds_estado","dt_inclusao","ds_tipo","ds_classificacao"
1735,"ATIVO","PESSOA FÍSICA","Kleitiane Silva Castro","Frutal","MG","2018-09-25","Rede Prestadora Contratualizada - Uberaba - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
1734,"ATIVO","PESSOA FÍSICA","Marcio Pizarro Pimenta","Barretos","SP","2016-08-31","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
2,"ATIVO","PESSOA FÍSICA","Daniela Dias Vinhal Costa","Iturama","MG","2018-11-28","Rede Prestadora Contratualizada - Uberaba - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
4,"ATIVO","PESSOA FÍSICA","LUIZ ANTONIO ZANTO CAMPOS BORGES","Frutal","MG","2017-04-18","Rede Prestadora Contratualizada - Uberaba - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
3,"ATIVO","PESSOA FÍSICA","EDSON CARTAPATTI DA SILVA","Sao Jose do Rio Preto","SP","1997-08-28","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
5,"INATIVO","PESSOA FÍSICA","Janaina Fernandes","Frutal","MG","2017-06-30","Rede Prestadora Contratualizada - Uberaba - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
3549,"ATIVO","PESSOA FÍSICA","MARIA FERNANDA FERES BUCATER","Potirendaba","SP","2024-08-22","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
6,"INATIVO","PESSOA FÍSICA","FRANCIELE FERREIRA DA SILVA","Frutal","MG","2018-11-29","Rede Prestadora Contratualizada - Uberaba - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
9,"INATIVO","PESSOA FÍSICA","LUCIANO CARVALHO DIAS","Frutal","MG","2022-09-16","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
10,"INATIVO","PESSOA FÍSICA","Rafaela Cristina Solano Manoel","Sao Jose do Rio Preto","SP","2019-01-17","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
7,"INATIVO","PESSOA FÍSICA","Mariana Carla Santos Rossini","Jales","SP","2017-08-29","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
8,"ATIVO","PESSOA FÍSICA","Taiana Silva Machado","Frutal","MG","2018-12-04","Rede Prestadora Contratualizada - Uberaba - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
12,"INATIVO","PESSOA FÍSICA","Mariana Wilberger Furtado de Almeida","Potirendaba","SP","2012-09-11","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
11,"ATIVO","PESSOA FÍSICA","Luccas Silva Machado","Frutal","MG","2018-12-04","Rede Prestadora Contratualizada - Uberaba - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
14,"ATIVO","PESSOA FÍSICA","Francieli Trevizan Fernandes Tonelotti","Jales","SP","2017-08-29","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
15,"INATIVO","PESSOA FÍSICA","Tarcilla Franco Amaral Freitas","Iturama","MG","2018-03-08","Rede Prestadora Contratualizada - Uberaba - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
13,"INATIVO","PESSOA FÍSICA","Adriany Mantovan Lima","Nova Granada","SP","2006-07-05","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
16,"INATIVO","PESSOA FÍSICA","SAULO CAMILLO ATIQUE","Barretos","SP","2019-04-01","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
18,"INATIVO","PESSOA FÍSICA","Andreza Valeria de Souza Colombano","Iturama","MG","2018-03-08","Rede Prestadora Contratualizada - Uberaba - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
17,"INATIVO","PESSOA FÍSICA","Maila Marques Sampaio","Iturama","MG","2018-03-08","Rede Prestadora Contratualizada - Uberaba - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
22,"INATIVO","PESSOA FÍSICA","Leonardo Pereira Ramiro","Jales","SP","2019-03-12","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
23,"ATIVO","PESSOA FÍSICA","RENAN SCANTAMBURLO","Monte Aprazivel","SP","2019-03-12","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
19,"INATIVO","PESSOA FÍSICA","FABIANA DA SILVA MARQUES","Potirendaba","SP","2017-08-23","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
20,"ATIVO","PESSOA FÍSICA","Mariana Camerao Rodrigues","Potirendaba","SP","2019-10-07","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
21,"ATIVO","PESSOA FÍSICA","Isabella de Lalibera Bellintani","Sao Jose do Rio Preto","SP","2015-04-20","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
24,"ATIVO","PESSOA FÍSICA","Celia Regina Picchioni","Iturama","MG","2018-06-27","Rede Prestadora Contratualizada - Uberaba - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
25,"ATIVO","PESSOA FÍSICA","Soraya Mendes de Oliveira","Iturama","MG","2018-06-18","Rede Prestadora Contratualizada - Uberaba - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
27,"ATIVO","PESSOA FÍSICA","Guilherme Perassa Gasque","Sao Jose do Rio Preto","SP","2019-03-26","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
28,"ATIVO","PESSOA FÍSICA","Isielen Cardoso Pires","Jales","SP","2018-12-05","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
30,"ATIVO","PESSOA FÍSICA","Deborah Juliani Machado","Barretos","SP","2020-06-19","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
29,"ATIVO","PESSOA FÍSICA","Renata Birchall Donzelini Santos","Sao Jose do Rio Preto","SP","2008-04-23","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
32,"ATIVO","PESSOA FÍSICA","Nadia Kamel Atoui Andraus","Iturama","MG","2018-10-29","Rede Prestadora Contratualizada - Uberaba - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
33,"ATIVO","PESSOA FÍSICA","CLAUDIO RIBEIRO SILVEIRA","Frutal","MG","2019-02-01","Rede Prestadora Contratualizada - Uberaba - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
34,"ATIVO","PESSOA FÍSICA","Natielly Ferreira Queiroz","Iturama","MG","2019-04-24","Rede Prestadora Contratualizada - Uberaba - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
36,"INATIVO","PESSOA FÍSICA","Francisco Abdalla Neto","Potirendaba","SP","1999-06-25","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
35,"ATIVO","PESSOA FÍSICA","Nayla Queiroz de Paula e Silva","Frutal","MG","2021-03-04","Rede Prestadora Contratualizada - Uberaba - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
